"Tin, Zinc"
"Current date: 04/02/2026 11:47 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"2608 Zinc Ores And Concentrates","South/Central America","2017","14,890,085"
"2608 Zinc Ores And Concentrates","South/Central America","2020","4,354,208"
"2608 Zinc Ores And Concentrates","South/Central America","2021","11,290,372"
"2608 Zinc Ores And Concentrates","South/Central America","2022","8,257,768"
"2608 Zinc Ores And Concentrates","South/Central America","2023","4,283,413"
"2608 Zinc Ores And Concentrates","South/Central America","2024","29,060,975"
"2608 Zinc Ores And Concentrates","South/Central America","2025","26,130,827"
"2608 Zinc Ores And Concentrates","South America","2017","14,890,085"
"2608 Zinc Ores And Concentrates","South America","2020","4,354,208"
"2608 Zinc Ores And Concentrates","South America","2021","11,290,372"
"2608 Zinc Ores And Concentrates","South America","2022","8,257,768"
"2608 Zinc Ores And Concentrates","South America","2023","4,275,549"
"2608 Zinc Ores And Concentrates","South America","2024","29,060,975"
"2608 Zinc Ores And Concentrates","South America","2025","26,130,827"
"2608 Zinc Ores And Concentrates","Peru","2017","14,890,085"
"2608 Zinc Ores And Concentrates","Peru","2020","4,354,208"
"2608 Zinc Ores And Concentrates","Peru","2021","11,290,372"
"2608 Zinc Ores And Concentrates","Peru","2022","8,257,768"
"2608 Zinc Ores And Concentrates","Peru","2023","4,275,549"
"2608 Zinc Ores And Concentrates","Peru","2024","29,060,975"
"2608 Zinc Ores And Concentrates","Peru","2025","26,130,827"
"2609 Tin Ores And Concentrates","South/Central America","2018","156,000"
"2609 Tin Ores And Concentrates","South/Central America","2022","6,000"
"2609 Tin Ores And Concentrates","South America","2018","156,000"
"2609 Tin Ores And Concentrates","Brazil","2018","156,000"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2015","3,224,232"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2016","8,824,201"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2017","2,187,879"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2018","7,469,037"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2019","7,591,539"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2020","8,672,812"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2021","14,354,332"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2022","19,993,578"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2023","17,157,486"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2024","18,118,940"
"2817 Zinc Oxide And Zinc Peroxide","South/Central America","2025","15,977,378"
"2817 Zinc Oxide And Zinc Peroxide","South America","2015","3,224,232"
"2817 Zinc Oxide And Zinc Peroxide","South America","2016","8,824,201"
"2817 Zinc Oxide And Zinc Peroxide","South America","2017","2,187,879"
"2817 Zinc Oxide And Zinc Peroxide","South America","2018","7,469,037"
"2817 Zinc Oxide And Zinc Peroxide","South America","2019","7,542,019"
"2817 Zinc Oxide And Zinc Peroxide","South America","2020","8,672,812"
"2817 Zinc Oxide And Zinc Peroxide","South America","2021","14,354,332"
"2817 Zinc Oxide And Zinc Peroxide","South America","2022","19,993,578"
"2817 Zinc Oxide And Zinc Peroxide","South America","2023","17,109,906"
"2817 Zinc Oxide And Zinc Peroxide","South America","2024","18,118,940"
"2817 Zinc Oxide And Zinc Peroxide","South America","2025","15,977,378"
"2817 Zinc Oxide And Zinc Peroxide","Brazil","2018","325,187"
"2817 Zinc Oxide And Zinc Peroxide","Brazil","2020","28,120"
"2817 Zinc Oxide And Zinc Peroxide","Brazil","2021","9,065"
"2817 Zinc Oxide And Zinc Peroxide","Brazil","2022","49,050"
"2817 Zinc Oxide And Zinc Peroxide","Brazil","2023","98,400"
"2817 Zinc Oxide And Zinc Peroxide","Brazil","2024","35,429"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2015","3,224,232"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2016","8,824,201"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2017","2,187,879"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2018","7,143,850"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2019","7,542,019"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2020","8,644,692"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2021","14,345,267"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2022","19,944,528"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2023","17,011,506"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2024","18,083,511"
"2817 Zinc Oxide And Zinc Peroxide","Peru","2025","15,977,378"
"7901 Zinc, Unwrought","South/Central America","2015","66,367,007"
"7901 Zinc, Unwrought","South/Central America","2016","133,065,379"
"7901 Zinc, Unwrought","South/Central America","2017","156,097,607"
"7901 Zinc, Unwrought","South/Central America","2018","140,256,857"
"7901 Zinc, Unwrought","South/Central America","2019","181,553,053"
"7901 Zinc, Unwrought","South/Central America","2020","144,975,467"
"7901 Zinc, Unwrought","South/Central America","2021","107,066,470"
"7901 Zinc, Unwrought","South/Central America","2022","184,400,867"
"7901 Zinc, Unwrought","South/Central America","2023","284,251,061"
"7901 Zinc, Unwrought","South/Central America","2024","259,555,577"
"7901 Zinc, Unwrought","South/Central America","2025","289,221,399"
"7901 Zinc, Unwrought","South America","2015","66,353,097"
"7901 Zinc, Unwrought","South America","2016","133,065,379"
"7901 Zinc, Unwrought","South America","2017","156,097,607"
"7901 Zinc, Unwrought","South America","2018","140,256,857"
"7901 Zinc, Unwrought","South America","2019","181,553,053"
"7901 Zinc, Unwrought","South America","2020","144,926,052"
"7901 Zinc, Unwrought","South America","2021","107,022,913"
"7901 Zinc, Unwrought","South America","2022","184,400,867"
"7901 Zinc, Unwrought","South America","2023","284,251,061"
"7901 Zinc, Unwrought","South America","2024","259,555,577"
"7901 Zinc, Unwrought","South America","2025","289,221,399"
"7901 Zinc, Unwrought","Argentina","2020","33,220"
"7901 Zinc, Unwrought","Argentina","2024","143,803"
"7901 Zinc, Unwrought","Brazil","2018","1,577,745"
"7901 Zinc, Unwrought","Brazil","2019","28,309,776"
"7901 Zinc, Unwrought","Brazil","2020","46,086,294"
"7901 Zinc, Unwrought","Brazil","2021","1,040,315"
"7901 Zinc, Unwrought","Brazil","2023","90,638,272"
"7901 Zinc, Unwrought","Brazil","2024","74,111,596"
"7901 Zinc, Unwrought","Brazil","2025","878,819"
"7901 Zinc, Unwrought","Colombia","2016","2,878"
"7901 Zinc, Unwrought","Colombia","2017","31,897"
"7901 Zinc, Unwrought","Colombia","2019","3,700"
"7901 Zinc, Unwrought","Colombia","2025","248,826"
"7901 Zinc, Unwrought","Peru","2015","66,353,097"
"7901 Zinc, Unwrought","Peru","2016","133,062,501"
"7901 Zinc, Unwrought","Peru","2017","156,065,710"
"7901 Zinc, Unwrought","Peru","2018","138,679,112"
"7901 Zinc, Unwrought","Peru","2019","153,239,577"
"7901 Zinc, Unwrought","Peru","2020","98,806,538"
"7901 Zinc, Unwrought","Peru","2021","105,982,598"
