"Copper & Graphite"
"Current date: 04/02/2026 11:34 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"2504 Natural Graphite","South/Central America","2015","9,941,921"
"2504 Natural Graphite","South/Central America","2016","7,426,485"
"2504 Natural Graphite","South/Central America","2017","7,601,671"
"2504 Natural Graphite","South/Central America","2018","6,469,010"
"2504 Natural Graphite","South/Central America","2019","5,006,893"
"2504 Natural Graphite","South/Central America","2020","5,464,157"
"2504 Natural Graphite","South/Central America","2021","5,962,197"
"2504 Natural Graphite","South/Central America","2022","4,613,180"
"2504 Natural Graphite","South/Central America","2023","4,816,556"
"2504 Natural Graphite","South/Central America","2024","4,489,212"
"2504 Natural Graphite","South/Central America","2025","5,774,560"
"2504 Natural Graphite","South America","2015","9,941,921"
"2504 Natural Graphite","South America","2016","7,426,485"
"2504 Natural Graphite","South America","2017","7,601,671"
"2504 Natural Graphite","South America","2018","6,469,010"
"2504 Natural Graphite","South America","2019","5,006,893"
"2504 Natural Graphite","South America","2020","5,464,157"
"2504 Natural Graphite","South America","2021","5,962,197"
"2504 Natural Graphite","South America","2022","4,590,114"
"2504 Natural Graphite","South America","2023","4,816,556"
"2504 Natural Graphite","South America","2024","4,489,212"
"2504 Natural Graphite","South America","2025","5,774,560"
"2504 Natural Graphite","Argentina","2021","5,750"
"2504 Natural Graphite","Brazil","2015","9,941,921"
"2504 Natural Graphite","Brazil","2016","7,426,485"
"2504 Natural Graphite","Brazil","2017","7,601,671"
"2504 Natural Graphite","Brazil","2018","6,469,010"
"2504 Natural Graphite","Brazil","2019","5,006,893"
"2504 Natural Graphite","Brazil","2020","5,464,157"
"2504 Natural Graphite","Brazil","2021","5,956,447"
"2504 Natural Graphite","Brazil","2022","4,590,114"
"2504 Natural Graphite","Brazil","2023","4,801,681"
"2504 Natural Graphite","Brazil","2024","4,474,336"
"2504 Natural Graphite","Brazil","2025","5,713,293"
"2504 Natural Graphite","Colombia","2023","14,875"
"2504 Natural Graphite","Colombia","2024","14,876"
"2504 Natural Graphite","Colombia","2025","61,267"
"2603 Copper Ores And Concentrates","South/Central America","2019","129,150"
"2603 Copper Ores And Concentrates","South/Central America","2021","5,268,578"
"2603 Copper Ores And Concentrates","South/Central America","2025","45,140"
"2603 Copper Ores And Concentrates","South America","2019","129,150"
"2603 Copper Ores And Concentrates","South America","2021","5,268,578"
"2603 Copper Ores And Concentrates","South America","2025","45,140"
"2603 Copper Ores And Concentrates","Chile","2025","30,000"
"2603 Copper Ores And Concentrates","Colombia","2019","125,000"
"2603 Copper Ores And Concentrates","Peru","2019","4,150"
"2603 Copper Ores And Concentrates","Peru","2021","5,268,578"
"2603 Copper Ores And Concentrates","Peru","2025","15,140"
"7401 Copper Mattes; Cement Copper (precipitated Copper)","South/Central America","2019","69,775"
"7401 Copper Mattes; Cement Copper (precipitated Copper)","South America","2019","69,775"
"7401 Copper Mattes; Cement Copper (precipitated Copper)","Brazil","2019","69,775"
"7402 Unrefnd Cppr; Cppr Anods F Elctroltc Refining","South/Central America","2018","6,000"
"7402 Unrefnd Cppr; Cppr Anods F Elctroltc Refining","South/Central America","2022","8,240"
"7402 Unrefnd Cppr; Cppr Anods F Elctroltc Refining","South America","2022","8,240"
"7402 Unrefnd Cppr; Cppr Anods F Elctroltc Refining","Brazil","2022","8,240"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2015","1,996,746,058"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2016","1,824,799,471"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2017","3,151,549,864"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2018","3,127,763,587"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2019","2,627,345,520"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2020","2,610,306,895"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2021","5,970,757,478"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2022","4,693,403,222"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2023","5,257,169,955"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2024","6,624,585,596"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South/Central America","2025","9,770,941,025"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2015","1,996,746,058"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2016","1,824,799,471"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2017","3,151,545,840"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2018","3,127,763,587"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2019","2,627,345,520"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2020","2,610,306,895"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","South America","2021","5,970,757,478"
