Commodities,Countries,Nominal_Value,HS_Code,Month,Year,Inflation_Rate,CPI,Real_Value,CategoryType,YearMonth
7609 Aluminum Tube Or Pipe Fittings,Singapore,2100,7609,8,2010,1.5,100.0,2100.0,Other,2010-08-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,127950,7610,3,2025,2.7,148.07891445527505,86406.63,Refined/Articles,2025-03-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Cambodia,385413,7615,11,2025,2.7,148.07891445527505,260275.409,Other,2025-11-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,346046,7610,12,2019,2.3,117.27772275086842,295065.416,Refined/Articles,2019-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,1385385,7610,1,2015,0.7,107.92305302183996,1283678.474,Refined/Articles,2015-01-01
7408 Copper Wire,Thailand,522424,7408,3,2022,6.5,135.51484256620265,385510.539,Refined/Articles,2022-03-01
7907 Articles Of Zinc Nesoi,Malaysia,265120,7907,1,2016,2.1,110.18943713529859,240603.825,Refined/Articles,2016-01-01
7411 Copper Tubes And Pipes,Malaysia,17558,7411,3,2020,1.4,118.91961086938058,14764.596,Refined/Articles,2020-03-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,14789316,7610,8,2022,6.5,135.51484256620265,10913428.906,Refined/Articles,2022-08-01
7907 Articles Of Zinc Nesoi,Vietnam,301367,7907,5,2018,1.9,114.6409802061275,262878.946,Refined/Articles,2018-05-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,40032,7413,8,2017,2.1,112.50341531513985,35582.92,Refined/Articles,2017-08-01
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Thailand,6462,3606,8,2016,2.1,110.18943713529859,5864.446,Refined/Articles,2016-08-01
7411 Copper Tubes And Pipes,Malaysia,2330932,7411,5,2024,2.9,144.18589528264368,1616615.825,Refined/Articles,2024-05-01
7404 Copper Waste And Scrap,Philippines,49103,7404,11,2012,1.7,104.75099999999999,46875.925,Ore/Raw,2012-11-01
"7611 Tanks Etc, Over 300 Liter Capacity, Aluminum",Vietnam,7828,7611,12,2021,7.0,127.24398363023722,6151.961,Other,2021-12-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Indonesia,35131,8108,4,2019,2.3,117.27772275086842,29955.391,Ore/Raw,2019-04-01
7602 Aluminum Waste And Scrap,Vietnam,4639,7602,6,2017,2.1,112.50341531513985,4123.43,Ore/Raw,2017-06-01
7907 Articles Of Zinc Nesoi,Singapore,36411,7907,10,2021,7.0,127.24398363023722,28615.105,Refined/Articles,2021-10-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,274745,7410,10,2013,1.5,106.32226499999997,258407.776,Refined/Articles,2013-10-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,121567,7410,2,2022,6.5,135.51484256620265,89707.517,Refined/Articles,2022-02-01
7419 Articles Of Copper Nesoi,Indonesia,411584,7419,4,2019,2.3,117.27772275086842,350948.151,Refined/Articles,2019-04-01
"7508 Articles Of Nickel, Nesoi",Malaysia,43880,7508,10,2015,0.7,107.92305302183996,40658.598,Refined/Articles,2015-10-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,18046241,7615,7,2016,2.1,110.18943713529859,16377469.083,Other,2016-07-01
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,258378,3606,11,2022,6.5,135.51484256620265,190663.986,Refined/Articles,2022-11-01
7616 Articles Of Aluminum Nesoi,Vietnam,1502873,7616,12,2018,1.9,114.6409802061275,1310938.721,Refined/Articles,2018-12-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,50682,7604,10,2019,2.3,117.27772275086842,43215.368,Refined/Articles,2019-10-01
7907 Articles Of Zinc Nesoi,Vietnam,1979352,7907,10,2025,2.7,148.07891445527505,1336687.271,Refined/Articles,2025-10-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,730005,8108,1,2017,2.1,112.50341531513985,648873.635,Ore/Raw,2017-01-01
7907 Articles Of Zinc Nesoi,Philippines,3400,7907,3,2012,1.7,104.75099999999999,3245.792,Refined/Articles,2012-03-01
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,7955,7505,1,2023,3.4,140.12234721345354,5677.182,Refined/Articles,2023-01-01
7503 Nickel Waste And Scrap,Malaysia,98814,7503,7,2024,2.9,144.18589528264368,68532.362,Ore/Raw,2024-07-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,1384988,7604,9,2023,3.4,140.12234721345354,988413.36,Refined/Articles,2023-09-01
7419 Articles Of Copper Nesoi,Thailand,1203043,7419,5,2011,3.0,103.0,1168002.913,Refined/Articles,2011-05-01
7616 Articles Of Aluminum Nesoi,Singapore,88135,7616,2,2017,2.1,112.50341531513985,78339.844,Refined/Articles,2017-02-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,3698,7415,2,2012,1.7,104.75099999999999,3530.277,Other,2012-02-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,7299,7604,2,2011,3.0,103.0,7086.408,Refined/Articles,2011-02-01
7419 Articles Of Copper Nesoi,Malaysia,252061,7419,9,2018,1.9,114.6409802061275,219869.893,Refined/Articles,2018-09-01
7616 Articles Of Aluminum Nesoi,Philippines,33733,7616,7,2021,7.0,127.24398363023722,26510.487,Refined/Articles,2021-07-01
7412 Copper Tube Or Pipe Fittings,Singapore,1103370,7412,11,2019,2.3,117.27772275086842,940818.063,Other,2019-11-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,28779,7609,4,2023,3.4,140.12234721345354,20538.48,Other,2023-04-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,573652,7606,2,2023,3.4,140.12234721345354,409393.656,Refined/Articles,2023-02-01
7616 Articles Of Aluminum Nesoi,Cambodia,565747,7616,9,2020,1.4,118.91961086938058,475739.027,Refined/Articles,2020-09-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,411915,7610,3,2014,0.8,107.17284311999997,384346.433,Refined/Articles,2014-03-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,7956,7409,11,2024,2.9,144.18589528264368,5517.877,Refined/Articles,2024-11-01
