Commodities,Countries,Nominal_Value,HS_Code,Month,Year,Inflation_Rate,CPI,Real_Value,CategoryType,YearMonth
7907 Articles Of Zinc Nesoi,Thailand,343111,7907,6,2021,7.0,127.24398363023722,269648.112,Refined/Articles,2021-06-01
7419 Articles Of Copper Nesoi,Thailand,311920,7419,4,2024,2.9,144.18589528264368,216331.84,Refined/Articles,2024-04-01
7907 Articles Of Zinc Nesoi,Malaysia,644690,7907,3,2025,2.7,148.07891445527505,435369.21,Refined/Articles,2025-03-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,1112760,7604,12,2018,1.9,114.6409802061275,970647.667,Refined/Articles,2018-12-01
7419 Articles Of Copper Nesoi,Thailand,688262,7419,3,2024,2.9,144.18589528264368,477343.501,Refined/Articles,2024-03-01
7412 Copper Tube Or Pipe Fittings,Thailand,1858857,7412,2,2022,6.5,135.51484256620265,1371699.93,Other,2022-02-01
7412 Copper Tube Or Pipe Fittings,Vietnam,7016081,7412,6,2025,2.7,148.07891445527505,4738068.905,Other,2025-06-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,2020229,7610,9,2023,3.4,140.12234721345354,1441760.747,Refined/Articles,2023-09-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,55886,7607,2,2015,0.7,107.92305302183996,51783.19,Refined/Articles,2015-02-01
7412 Copper Tube Or Pipe Fittings,Singapore,2167657,7412,5,2022,6.5,135.51484256620265,1599571.648,Other,2022-05-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,387922,7612,12,2016,2.1,110.18943713529859,352050.079,Other,2016-12-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,29372,7415,6,2014,0.8,107.17284311999997,27406.197,Other,2014-06-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,1902202,7604,12,2023,3.4,140.12234721345354,1357529.358,Refined/Articles,2023-12-01
7616 Articles Of Aluminum Nesoi,Indonesia,47427,7616,4,2019,2.3,117.27772275086842,40439.905,Refined/Articles,2019-04-01
"7407 Copper Bars, Rods And Profiles",Thailand,15520,7407,10,2011,3.0,103.0,15067.961,Refined/Articles,2011-10-01
"7601 Aluminum, Unwrought",Thailand,6385,7601,10,2011,3.0,103.0,6199.029,Refined/Articles,2011-10-01
7616 Articles Of Aluminum Nesoi,Burma,252415,7616,10,2019,2.3,117.27772275086842,215228.429,Refined/Articles,2019-10-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,2014323,7610,7,2020,1.4,118.91961086938058,1693852.667,Refined/Articles,2020-07-01
"7508 Articles Of Nickel, Nesoi",Singapore,63157,7508,3,2018,1.9,114.6409802061275,55091.12,Refined/Articles,2018-03-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,2402357,7610,2,2019,2.3,117.27772275086842,2048434.216,Refined/Articles,2019-02-01
"7903 Zinc Dust, Powders And Flakes",Malaysia,63170,7903,8,2015,0.7,107.92305302183996,58532.443,Other,2015-08-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,295017,7418,2,2015,0.7,107.92305302183996,273358.649,Other,2015-02-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,92396,7415,4,2018,1.9,114.6409802061275,80595.961,Other,2018-04-01
7907 Articles Of Zinc Nesoi,Vietnam,484017,7907,4,2019,2.3,117.27772275086842,412710.094,Refined/Articles,2019-04-01
7616 Articles Of Aluminum Nesoi,Thailand,1010817,7616,4,2018,1.9,114.6409802061275,881723.968,Refined/Articles,2018-04-01
7419 Articles Of Copper Nesoi,Malaysia,153149,7419,6,2018,1.9,114.6409802061275,133590.1,Refined/Articles,2018-06-01
7616 Articles Of Aluminum Nesoi,Indonesia,60892,7616,6,2016,2.1,110.18943713529859,55261.195,Refined/Articles,2016-06-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,11234,7415,5,2019,2.3,117.27772275086842,9578.972,Other,2019-05-01
7608 Aluminum Tubes And Pipes,Indonesia,32305,7608,3,2023,3.4,140.12234721345354,23054.852,Refined/Articles,2023-03-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Vietnam,181053,7409,1,2022,6.5,135.51484256620265,133603.815,Refined/Articles,2022-01-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,651673,7418,6,2015,0.7,107.92305302183996,603831.139,Other,2015-06-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,12460075,7606,2,2015,0.7,107.92305302183996,11545332.208,Refined/Articles,2015-02-01
7616 Articles Of Aluminum Nesoi,Malaysia,1887889,7616,8,2024,2.9,144.18589528264368,1309343.744,Refined/Articles,2024-08-01
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,3600,3801,11,2019,2.3,117.27772275086842,3069.637,Other,2019-11-01
"7604 Aluminum Bars, Rods And Profiles",Indonesia,4227949,7604,3,2020,1.4,118.91961086938058,3555300.063,Refined/Articles,2020-03-01
"7407 Copper Bars, Rods And Profiles",Thailand,254148,7407,2,2012,1.7,104.75099999999999,242621.073,Refined/Articles,2012-02-01
7412 Copper Tube Or Pipe Fittings,Vietnam,910350,7412,10,2019,2.3,117.27772275086842,776234.377,Other,2019-10-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,534490,7612,4,2014,0.8,107.17284311999997,498717.758,Other,2014-04-01
7608 Aluminum Tubes And Pipes,Thailand,6191,7608,1,2019,2.3,117.27772275086842,5278.922,Refined/Articles,2019-01-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,5461236,7610,11,2021,7.0,127.24398363023722,4291940.447,Refined/Articles,2021-11-01
7419 Articles Of Copper Nesoi,Singapore,54997,7419,9,2017,2.1,112.50341531513985,48884.738,Refined/Articles,2017-09-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,7959,7415,1,2016,2.1,110.18943713529859,7223.015,Other,2016-01-01
7602 Aluminum Waste And Scrap,Vietnam,7841,7602,4,2017,2.1,112.50341531513985,6969.566,Ore/Raw,2017-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,909774,7615,7,2016,2.1,110.18943713529859,825645.383,Other,2016-07-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,4455,7409,12,2014,0.8,107.17284311999997,4156.837,Refined/Articles,2014-12-01
7907 Articles Of Zinc Nesoi,Vietnam,503295,7907,2,2019,2.3,117.27772275086842,429147.999,Refined/Articles,2019-02-01
"7508 Articles Of Nickel, Nesoi",Singapore,165284,7508,3,2017,2.1,112.50341531513985,146914.651,Refined/Articles,2017-03-01
7907 Articles Of Zinc Nesoi,Cambodia,5611,7907,12,2020,1.4,118.91961086938058,4718.313,Refined/Articles,2020-12-01
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,576228,7613,9,2025,2.7,148.07891445527505,389135.754,Refined/Articles,2025-09-01
7613 Aluminum Containers For Compressed Or Liquefid Gas,Malaysia,19882,7613,4,2023,3.4,140.12234721345354,14189.029,Refined/Articles,2023-04-01
7907 Articles Of Zinc Nesoi,Malaysia,167208,7907,6,2020,1.4,118.91961086938058,140605.909,Refined/Articles,2020-06-01
7616 Articles Of Aluminum Nesoi,Vietnam,9915046,7616,4,2025,2.7,148.07891445527505,6695785.174,Refined/Articles,2025-04-01
7907 Articles Of Zinc Nesoi,Philippines,0,7907,5,2020,1.4,118.91961086938058,0.0,Refined/Articles,2020-05-01
2504 Natural Graphite,Indonesia,6211957,2504,9,2025,2.7,148.07891445527505,4195031.428,Other,2025-09-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Indonesia,11673,7410,10,2015,0.7,107.92305302183996,10816.039,Refined/Articles,2015-10-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,274236,7418,7,2020,1.4,118.91961086938058,230606.204,Other,2020-07-01
7411 Copper Tubes And Pipes,Thailand,23079206,7411,3,2025,2.7,148.07891445527505,15585747.697,Refined/Articles,2025-03-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,569408,7615,12,2020,1.4,118.91961086938058,478817.578,Other,2020-12-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,71087,7609,5,2015,0.7,107.92305302183996,65868.226,Other,2015-05-01
7411 Copper Tubes And Pipes,Malaysia,1662187,7411,5,2022,6.5,135.51484256620265,1226571.915,Refined/Articles,2022-05-01
7616 Articles Of Aluminum Nesoi,Philippines,73430,7616,1,2014,0.8,107.17284311999997,68515.491,Refined/Articles,2014-01-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,29798,7609,6,2021,7.0,127.24398363023722,23418.003,Other,2021-06-01
7907 Articles Of Zinc Nesoi,Malaysia,142848,7907,10,2015,0.7,107.92305302183996,132360.97,Refined/Articles,2015-10-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,202026,7607,7,2012,1.7,104.75099999999999,192863.075,Refined/Articles,2012-07-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,48801,7415,6,2023,3.4,140.12234721345354,34827.421,Other,2023-06-01
7404 Copper Waste And Scrap,Philippines,32938,7404,10,2016,2.1,110.18943713529859,29892.157,Ore/Raw,2016-10-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Malaysia,58037,7615,5,2023,3.4,140.12234721345354,41418.804,Other,2023-05-01
7907 Articles Of Zinc Nesoi,Malaysia,173266,7907,8,2015,0.7,107.92305302183996,160545.866,Refined/Articles,2015-08-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,12953165,7615,3,2010,1.5,100.0,12953165.0,Other,2010-03-01
7408 Copper Wire,Indonesia,10200,7408,8,2010,1.5,100.0,10200.0,Refined/Articles,2010-08-01
7616 Articles Of Aluminum Nesoi,Philippines,435214,7616,9,2020,1.4,118.91961086938058,365973.28,Refined/Articles,2020-09-01
7419 Articles Of Copper Nesoi,Indonesia,86205,7419,9,2024,2.9,144.18589528264368,59787.401,Refined/Articles,2024-09-01
7419 Articles Of Copper Nesoi,Malaysia,90420,7419,7,2015,0.7,107.92305302183996,83781.914,Refined/Articles,2015-07-01
"7508 Articles Of Nickel, Nesoi",Indonesia,721752,7508,3,2021,7.0,127.24398363023722,567218.96,Refined/Articles,2021-03-01
7609 Aluminum Tube Or Pipe Fittings,Philippines,48180,7609,8,2010,1.5,100.0,48180.0,Other,2010-08-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,127181,7612,9,2023,3.4,140.12234721345354,90764.252,Other,2023-09-01
7907 Articles Of Zinc Nesoi,Malaysia,231940,7907,3,2023,3.4,140.12234721345354,165526.773,Refined/Articles,2023-03-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,680996,7418,4,2016,2.1,110.18943713529859,618022.941,Other,2016-04-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,3276145,7604,12,2017,2.1,112.50341531513985,2912040.484,Refined/Articles,2017-12-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,4500,7607,5,2019,2.3,117.27772275086842,3837.046,Refined/Articles,2019-05-01
7608 Aluminum Tubes And Pipes,Malaysia,2060,7608,8,2010,1.5,100.0,2060.0,Refined/Articles,2010-08-01
7408 Copper Wire,Thailand,119251,7408,10,2021,7.0,127.24398363023722,93718.38,Refined/Articles,2021-10-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,207235,7612,12,2023,3.4,140.12234721345354,147895.753,Other,2023-12-01
7412 Copper Tube Or Pipe Fittings,Thailand,2425604,7412,1,2018,1.9,114.6409802061275,2115826.291,Other,2018-01-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,1849133,7413,10,2010,1.5,100.0,1849133.0,Refined/Articles,2010-10-01
7907 Articles Of Zinc Nesoi,Burma,0,7907,6,2020,1.4,118.91961086938058,0.0,Refined/Articles,2020-06-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,1180164,7607,12,2019,2.3,117.27772275086842,1006298.53,Refined/Articles,2019-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,635955,7610,11,2010,1.5,100.0,635955.0,Refined/Articles,2010-11-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,15123311,7615,9,2019,2.3,117.27772275086842,12895297.287,Other,2019-09-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,201279,7606,9,2018,1.9,114.6409802061275,175573.342,Refined/Articles,2018-09-01
7616 Articles Of Aluminum Nesoi,Singapore,188324,7616,2,2025,2.7,148.07891445527505,127178.134,Refined/Articles,2025-02-01
7616 Articles Of Aluminum Nesoi,Vietnam,9215467,7616,1,2025,2.7,148.07891445527505,6223348.566,Refined/Articles,2025-01-01
7608 Aluminum Tubes And Pipes,Vietnam,311551,7608,2,2017,2.1,112.50341531513985,276925.815,Refined/Articles,2017-02-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,149076,7410,7,2022,6.5,135.51484256620265,110007.138,Refined/Articles,2022-07-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,5243,7604,2,2025,2.7,148.07891445527505,3540.68,Refined/Articles,2025-02-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,63685,7610,10,2017,2.1,112.50341531513985,56607.17,Refined/Articles,2017-10-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Philippines,3203,7415,10,2018,1.9,114.6409802061275,2793.94,Other,2018-10-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,2732,7415,2,2021,7.0,127.24398363023722,2147.056,Other,2021-02-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,222352,7607,2,2013,1.5,106.32226499999997,209130.233,Refined/Articles,2013-02-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,9341,7418,12,2021,7.0,127.24398363023722,7341.015,Other,2021-12-01
2823 Titanium Oxides,Singapore,5275,2823,6,2014,0.8,107.17284311999997,4921.956,Compound,2014-06-01
7503 Nickel Waste And Scrap,Malaysia,5709,7503,9,2011,3.0,103.0,5542.718,Ore/Raw,2011-09-01
"7604 Aluminum Bars, Rods And Profiles",Indonesia,359990,7604,6,2011,3.0,103.0,349504.854,Refined/Articles,2011-06-01
7419 Articles Of Copper Nesoi,Thailand,386850,7419,5,2016,2.1,110.18943713529859,351077.209,Refined/Articles,2016-05-01
7412 Copper Tube Or Pipe Fittings,Indonesia,461135,7412,9,2015,0.7,107.92305302183996,427281.278,Other,2015-09-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,1081529,7615,12,2012,1.7,104.75099999999999,1032476.062,Other,2012-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,6521864,7610,7,2021,7.0,127.24398363023722,5125479.267,Refined/Articles,2021-07-01
7419 Articles Of Copper Nesoi,Malaysia,80887,7419,3,2011,3.0,103.0,78531.068,Refined/Articles,2011-03-01
7412 Copper Tube Or Pipe Fittings,Thailand,1696051,7412,5,2012,1.7,104.75099999999999,1619126.309,Other,2012-05-01
"7604 Aluminum Bars, Rods And Profiles",Indonesia,1294474,7604,12,2024,2.9,144.18589528264368,897781.296,Refined/Articles,2024-12-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,20273,7609,10,2024,2.9,144.18589528264368,14060.321,Other,2024-10-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,36500,7606,12,2016,2.1,110.18943713529859,33124.772,Refined/Articles,2016-12-01
7412 Copper Tube Or Pipe Fittings,Vietnam,147764,7412,8,2018,1.9,114.6409802061275,128892.827,Other,2018-08-01
7608 Aluminum Tubes And Pipes,Vietnam,750850,7608,6,2024,2.9,144.18589528264368,520751.353,Refined/Articles,2024-06-01
7616 Articles Of Aluminum Nesoi,Vietnam,475454,7616,6,2014,0.8,107.17284311999997,443632.908,Refined/Articles,2014-06-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,15260582,7615,3,2012,1.7,104.75099999999999,14568435.624,Other,2012-03-01
7404 Copper Waste And Scrap,Philippines,104967,7404,11,2021,7.0,127.24398363023722,82492.702,Ore/Raw,2021-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,16476,7607,9,2021,7.0,127.24398363023722,12948.353,Refined/Articles,2021-09-01
"7508 Articles Of Nickel, Nesoi",Singapore,61274,7508,11,2025,2.7,148.07891445527505,41379.288,Refined/Articles,2025-11-01
7411 Copper Tubes And Pipes,Vietnam,4808713,7411,7,2014,0.8,107.17284311999997,4486876.395,Refined/Articles,2014-07-01
7404 Copper Waste And Scrap,Indonesia,37399,7404,2,2016,2.1,110.18943713529859,33940.64,Ore/Raw,2016-02-01
7608 Aluminum Tubes And Pipes,Thailand,2578,7608,2,2022,6.5,135.51484256620265,1902.375,Refined/Articles,2022-02-01
7419 Articles Of Copper Nesoi,Thailand,582058,7419,12,2020,1.4,118.91961086938058,489455.016,Refined/Articles,2020-12-01
7616 Articles Of Aluminum Nesoi,Malaysia,1881724,7616,4,2012,1.7,104.75099999999999,1796378.078,Refined/Articles,2012-04-01
"7508 Articles Of Nickel, Nesoi",Singapore,105468,7508,4,2014,0.8,107.17284311999997,98409.258,Refined/Articles,2014-04-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,7979,7415,2,2012,1.7,104.75099999999999,7617.111,Other,2012-02-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,2166,7415,4,2021,7.0,127.24398363023722,1702.242,Other,2021-04-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,416396,7610,4,2012,1.7,104.75099999999999,397510.286,Refined/Articles,2012-04-01
7419 Articles Of Copper Nesoi,Thailand,521322,7419,3,2023,3.4,140.12234721345354,372047.721,Refined/Articles,2023-03-01
7616 Articles Of Aluminum Nesoi,Malaysia,1266908,7616,9,2021,7.0,127.24398363023722,995652.575,Refined/Articles,2021-09-01
"7604 Aluminum Bars, Rods And Profiles",Indonesia,5756175,7604,2,2019,2.3,117.27772275086842,4908157.206,Refined/Articles,2019-02-01
7608 Aluminum Tubes And Pipes,Thailand,69626,7608,10,2020,1.4,118.91961086938058,58548.796,Refined/Articles,2020-10-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,10704381,7615,5,2019,2.3,117.27772275086842,9127377.944,Other,2019-05-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,46076,7609,11,2025,2.7,148.07891445527505,31115.841,Other,2025-11-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,67818,7609,10,2018,1.9,114.6409802061275,59156.856,Other,2018-10-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,18946,7415,3,2021,7.0,127.24398363023722,14889.506,Other,2021-03-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,3171651,7610,11,2020,1.4,118.91961086938058,2667054.64,Refined/Articles,2020-11-01
7602 Aluminum Waste And Scrap,Vietnam,3949,7602,1,2015,0.7,107.92305302183996,3659.088,Ore/Raw,2015-01-01
7616 Articles Of Aluminum Nesoi,Malaysia,1478230,7616,4,2024,2.9,144.18589528264368,1025225.108,Refined/Articles,2024-04-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,60511,7612,2,2012,1.7,104.75099999999999,57766.513,Other,2012-02-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,278434,7604,5,2020,1.4,118.91961086938058,234136.319,Refined/Articles,2020-05-01
7411 Copper Tubes And Pipes,Vietnam,11594897,7411,2,2020,1.4,118.91961086938058,9750197.562,Refined/Articles,2020-02-01
7608 Aluminum Tubes And Pipes,Singapore,2200,7608,7,2012,1.7,104.75099999999999,2100.219,Refined/Articles,2012-07-01
7608 Aluminum Tubes And Pipes,Vietnam,372848,7608,8,2019,2.3,117.27772275086842,317918.861,Refined/Articles,2019-08-01
7608 Aluminum Tubes And Pipes,Thailand,16712,7608,7,2013,1.5,106.32226499999997,15718.251,Refined/Articles,2013-07-01
7408 Copper Wire,Thailand,325116,7408,7,2010,1.5,100.0,325116.0,Refined/Articles,2010-07-01
7419 Articles Of Copper Nesoi,Vietnam,563720,7419,5,2022,6.5,135.51484256620265,415983.954,Refined/Articles,2022-05-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,12862,7409,6,2014,0.8,107.17284311999997,12001.175,Refined/Articles,2014-06-01
"7604 Aluminum Bars, Rods And Profiles",Singapore,5056,7604,1,2020,1.4,118.91961086938058,4251.612,Refined/Articles,2020-01-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,4208,7415,12,2012,1.7,104.75099999999999,4017.145,Other,2012-12-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,3301784,7610,3,2019,2.3,117.27772275086842,2815354.803,Refined/Articles,2019-03-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,128999,7607,11,2014,0.8,107.17284311999997,120365.38,Refined/Articles,2014-11-01
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Vietnam,101417,7403,12,2025,2.7,148.07891445527505,68488.482,Refined/Articles,2025-12-01
7412 Copper Tube Or Pipe Fittings,Singapore,489536,7412,6,2014,0.8,107.17284311999997,456772.43,Other,2014-06-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Philippines,3708,7415,1,2025,2.7,148.07891445527505,2504.07,Other,2025-01-01
7907 Articles Of Zinc Nesoi,Vietnam,257960,7907,1,2022,6.5,135.51484256620265,190355.532,Refined/Articles,2022-01-01
7408 Copper Wire,Malaysia,79470,7408,7,2022,6.5,135.51484256620265,58643.023,Refined/Articles,2022-07-01
7616 Articles Of Aluminum Nesoi,Indonesia,1782327,7616,7,2025,2.7,148.07891445527505,1203633.216,Refined/Articles,2025-07-01
7605 Aluminum Wire,Thailand,11850,7605,2,2018,1.9,114.6409802061275,10336.618,Refined/Articles,2018-02-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,565372,7612,12,2014,0.8,107.17284311999997,527532.893,Other,2014-12-01
7608 Aluminum Tubes And Pipes,Indonesia,229762,7608,12,2021,7.0,127.24398363023722,180568.066,Refined/Articles,2021-12-01
7907 Articles Of Zinc Nesoi,Singapore,25877,7907,4,2025,2.7,148.07891445527505,17475.142,Refined/Articles,2025-04-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,287466,7612,4,2024,2.9,144.18589528264368,199371.79,Other,2024-04-01
7411 Copper Tubes And Pipes,Malaysia,1071492,7411,8,2020,1.4,118.91961086938058,901022.121,Refined/Articles,2020-08-01
7616 Articles Of Aluminum Nesoi,Cambodia,603382,7616,4,2020,1.4,118.91961086938058,507386.457,Refined/Articles,2020-04-01
7608 Aluminum Tubes And Pipes,Thailand,2962,7608,5,2022,6.5,135.51484256620265,2185.738,Refined/Articles,2022-05-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,6040,7415,8,2018,1.9,114.6409802061275,5268.622,Other,2018-08-01
7411 Copper Tubes And Pipes,Vietnam,5301733,7411,4,2011,3.0,103.0,5147313.592,Refined/Articles,2011-04-01
"7508 Articles Of Nickel, Nesoi",Singapore,57940,7508,7,2016,2.1,110.18943713529859,52582.173,Refined/Articles,2016-07-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,1740308,7607,9,2020,1.4,118.91961086938058,1463432.303,Refined/Articles,2020-09-01
"7407 Copper Bars, Rods And Profiles",Thailand,357318,7407,10,2022,6.5,135.51484256620265,263674.438,Refined/Articles,2022-10-01
7616 Articles Of Aluminum Nesoi,Vietnam,529098,7616,6,2017,2.1,112.50341531513985,470295.056,Refined/Articles,2017-06-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,823399,7615,1,2013,1.5,106.32226499999997,774437.038,Other,2013-01-01
7602 Aluminum Waste And Scrap,Indonesia,80003,7602,4,2013,1.5,106.32226499999997,75245.763,Ore/Raw,2013-04-01
7616 Articles Of Aluminum Nesoi,Philippines,115197,7616,4,2024,2.9,144.18589528264368,79894.777,Refined/Articles,2024-04-01
7616 Articles Of Aluminum Nesoi,Singapore,220907,7616,1,2010,1.5,100.0,220907.0,Refined/Articles,2010-01-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,3011955,7607,7,2019,2.3,117.27772275086842,2568224.322,Refined/Articles,2019-07-01
"7508 Articles Of Nickel, Nesoi",Singapore,26898,7508,8,2011,3.0,103.0,26114.563,Refined/Articles,2011-08-01
2820 Manganese Oxides,Singapore,38190,2820,12,2015,0.7,107.92305302183996,35386.323,Compound,2015-12-01
7419 Articles Of Copper Nesoi,Vietnam,271142,7419,10,2019,2.3,117.27772275086842,231196.508,Refined/Articles,2019-10-01
7609 Aluminum Tube Or Pipe Fittings,Vietnam,440415,7609,9,2023,3.4,140.12234721345354,314307.467,Other,2023-09-01
7412 Copper Tube Or Pipe Fittings,Thailand,3000587,7412,1,2023,3.4,140.12234721345354,2141405.036,Other,2023-01-01
7608 Aluminum Tubes And Pipes,Vietnam,279703,7608,2,2019,2.3,117.27772275086842,238496.275,Refined/Articles,2019-02-01
"7407 Copper Bars, Rods And Profiles",Thailand,133024,7407,6,2022,6.5,135.51484256620265,98161.941,Refined/Articles,2022-06-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,43496,7415,6,2016,2.1,110.18943713529859,39473.838,Other,2016-06-01
7608 Aluminum Tubes And Pipes,Thailand,91598,7608,7,2022,6.5,135.51484256620265,67592.596,Refined/Articles,2022-07-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,570341,2846,1,2019,2.3,117.27772275086842,486316.571,Compound,2019-01-01
7404 Copper Waste And Scrap,Malaysia,307805,7404,11,2012,1.7,104.75099999999999,293844.45,Ore/Raw,2012-11-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,18281630,7606,3,2011,3.0,103.0,17749155.34,Refined/Articles,2011-03-01
"7407 Copper Bars, Rods And Profiles",Malaysia,4083513,7407,12,2025,2.7,148.07891445527505,2757660.005,Refined/Articles,2025-12-01
7404 Copper Waste And Scrap,Vietnam,69636,7404,2,2020,1.4,118.91961086938058,58557.205,Ore/Raw,2020-02-01
7616 Articles Of Aluminum Nesoi,Malaysia,1691308,7616,11,2023,3.4,140.12234721345354,1207022.316,Refined/Articles,2023-11-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,9838,7415,11,2010,1.5,100.0,9838.0,Other,2010-11-01
7411 Copper Tubes And Pipes,Thailand,2015965,7411,9,2012,1.7,104.75099999999999,1924530.553,Refined/Articles,2012-09-01
7412 Copper Tube Or Pipe Fittings,Indonesia,966879,7412,3,2015,0.7,107.92305302183996,895896.635,Other,2015-03-01
"7604 Aluminum Bars, Rods And Profiles",Singapore,4512,7604,2,2012,1.7,104.75099999999999,4307.357,Refined/Articles,2012-02-01
"7407 Copper Bars, Rods And Profiles",Malaysia,714201,7407,4,2025,2.7,148.07891445527505,482311.072,Refined/Articles,2025-04-01
7608 Aluminum Tubes And Pipes,Vietnam,107289,7608,12,2021,7.0,127.24398363023722,84317.543,Refined/Articles,2021-12-01
