Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,August 2016,2816
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2015,129909
7404 Copper Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2010,99234
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2023,294925
7419 Articles Of Copper Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2015,503123
2817 Zinc Oxide And Zinc Peroxide,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2025,133208
7608 Aluminum Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2016,42874
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2025,5097443
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2024,1185566
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2025,2232762
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2015,264611
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2014,23994
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2023,5927891
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2011,95209
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2024,832956
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2021,2002648
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2017,634448
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2015,351750
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2012,387221
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2022,37941
7412 Copper Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2017,11712
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2015,7698
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Burma,All Country Subcodes,All Rate Provisions,All Districts,January 2021,779348
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2012,121071
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2018,4500
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2015,67695
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2014,205303
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2016,585440
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2016,1034289
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2018,12420
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,December 2019,143700
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2011,2194778
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2024,2304728
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2019,116581
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2020,495926
"7601 Aluminum, Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2019,1255596
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2020,256755
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2016,16991
"7505 Nickel Bars, Rods, Profiles And Wire",Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2023,4773
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2019,259399
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2010,24661
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2021,145408
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2021,41350
7404 Copper Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,November 2020,87512
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2013,1273500
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2024,91192
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2024,2488312
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2014,88858
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2011,88896
"7601 Aluminum, Unwrought",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2025,5911960
"7508 Articles Of Nickel, Nesoi",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2018,2212
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2013,8891
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2021,7800
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2023,2430
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2013,699495
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2021,781275
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2022,44356
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2012,1423270
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2022,74637
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2016,793609
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2012,1902301
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2011,5456515
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2010,2329
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2012,4798
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2019,1738448
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2015,73240
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2011,58784
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,October 2018,728870
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2025,1034380
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2022,714200
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2019,680944
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2018,122806
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2020,109452
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2010,87459
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2025,2724212
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2011,29832
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2012,30005
"7505 Nickel Bars, Rods, Profiles And Wire",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2025,63264
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2020,1530593
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2020,148257
7616 Articles Of Aluminum Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,February 2017,97575
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2014,186439
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2023,311615
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2024,5443858
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2021,111109
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Brunei,All Country Subcodes,All Rate Provisions,All Districts,May 2025,243330
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2020,2780
7404 Copper Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2017,42728
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2025,5732509
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2021,118429
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2020,5562
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2025,1258039
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2024,3332
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2016,321578
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2015,7081
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2011,7805
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2013,20333389
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2018,596411
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2021,44184
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2015,215806
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2024,3685705
"7505 Nickel Bars, Rods, Profiles And Wire",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2011,3859
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Philippines,All Country Subcodes,All Rate Provisions,All Districts,April 2018,2745
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2018,430157
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2017,6956
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2016,2623
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2014,11729
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2012,36437
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2011,9530
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2011,109810
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,May 2021,678288
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2024,2343804
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2010,419157
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2025,240553
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2023,3661728
"7505 Nickel Bars, Rods, Profiles And Wire",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2019,6743
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2021,49668
7608 Aluminum Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2023,4154
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2020,7776
7411 Copper Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2024,20823390
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2023,2789682
7608 Aluminum Tubes And Pipes,Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2012,5579
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2016,37400
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2017,3940
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2015,116806
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2013,279509
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2023,254608
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2021,233979
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2025,77021
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2021,905354
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2014,33146
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2019,611821
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2023,1328515
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,January 2010,25480
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2012,37103
2614 Titanium Ores And Concentrates,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2011,42958
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2012,869395
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2023,11362653
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2014,107131
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2019,218494
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2018,6579465
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2018,374168
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2017,36877
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2012,340880
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2015,81626
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2010,433164
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2020,349986
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2024,167768
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2022,6150844
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2014,298066
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2015,89128
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2011,2033
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2023,16710
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2023,379988
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2014,117471
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2016,129413
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2022,5580742
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2023,828038
"7905 Zinc Plates, Sheet, Strip And Foil",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2015,9209
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2023,275399
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2020,17516
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2023,2277263
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2022,16906629
7608 Aluminum Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2016,15870
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2011,149806
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2018,258755
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2024,19747684
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2017,4198
"7508 Articles Of Nickel, Nesoi",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2013,30512
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2016,78766
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2025,20989924
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2019,4326
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2025,3635941
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2021,969012
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2020,150436
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2018,3299260
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2025,8160
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2014,77220
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2013,86922
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2024,1353248
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2021,99947
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2013,613478
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Philippines,All Country Subcodes,All Rate Provisions,All Districts,March 2018,3733
7616 Articles Of Aluminum Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2016,91010
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2018,7645
7411 Copper Tubes And Pipes,Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2021,8074
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2015,2452193
7408 Copper Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2021,24132
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2013,125308
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2025,226803
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2025,4896098
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2016,49593
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2011,17614
7404 Copper Waste And Scrap,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2017,63280
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2012,518826
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2010,95851
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2011,5541
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2019,1575122
7609 Aluminum Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2012,24444
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2020,20620
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2010,73446
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2024,1255297
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2022,5838548
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2010,97642
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2025,932548
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2023,4783
7408 Copper Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2018,2100
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2017,1412517
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2024,39962
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Burma,All Country Subcodes,All Rate Provisions,All Districts,April 2020,93822
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2025,98395
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2017,5221
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2013,87628
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2023,2610
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2020,61623
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2022,5030
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2015,147041
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2013,157144
"7508 Articles Of Nickel, Nesoi",Philippines,All Country Subcodes,All Rate Provisions,All Districts,December 2022,7549
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,September 2017,142640
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2016,246203
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2016,350620
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2012,1096608
7609 Aluminum Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2017,31939
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2023,95248
7503 Nickel Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,April 2019,2170
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2016,99972
7419 Articles Of Copper Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2021,1029690
