HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7404,Copper Waste And Scrap,2016,,Ecuador,778312,1.26,110.0632,707150.0737757944,Refined / Articles
7404,Copper Waste And Scrap,2017,,Ecuador,1154180,2.13,112.4076,1026781.1073272625,Refined / Articles
7404,Copper Waste And Scrap,2018,,Ecuador,1003538,2.44,115.1503,871502.722962945,Refined / Articles
7404,Copper Waste And Scrap,2019,,Ecuador,1322557,1.81,117.2345,1128129.5181879054,Refined / Articles
7404,Copper Waste And Scrap,2020,,Ecuador,497349,1.23,118.6765,419079.5987411156,Refined / Articles
7404,Copper Waste And Scrap,2021,,Ecuador,1924527,4.7,124.2543,1548861.4880933696,Refined / Articles
7404,Copper Waste And Scrap,2022,,Ecuador,535515,8.0,134.1947,399058.2340435203,Refined / Articles
7404,Copper Waste And Scrap,2023,,Ecuador,741171,4.12,139.7235,530455.5067687253,Refined / Articles
7404,Copper Waste And Scrap,2024,,Ecuador,3341767,2.9,143.7755,2324295.1685092384,Refined / Articles
7404,Copper Waste And Scrap,2025,,Ecuador,1401557,2.8,147.8012,948271.7325705069,Refined / Articles
7404,Copper Waste And Scrap,2015,,Guyana,37337,0.12,108.6937,34350.6569377986,Refined / Articles
7404,Copper Waste And Scrap,2016,,Guyana,59619,1.26,110.0632,54167.96894874945,Refined / Articles
7404,Copper Waste And Scrap,2017,,Guyana,453558,2.13,112.4076,403494.06979599246,Refined / Articles
7404,Copper Waste And Scrap,2018,,Guyana,478164,2.44,115.1503,415252.06621259346,Refined / Articles
